id;name
1;Tom Tailor
2;Mustang
3;Wellensteyn
4;S.Oliver
5;Esprit
6;Seidensticker
7;Street One
8;Levi's
9;Hugo Boss
10;Lloyd
11;Falke
12;New Era
13;Marc O'Polo
14;Roeckl
15;Bugatti
16;Schiesser
17;Adidas
18;Carl Gross
19;Olymp
20;Nike
21;Puma
22;Dr. Martens
23;Birkenstock
24;Jack & Jones
25;Tommy Hilfiger
26;C&A
27;Selected
28;Alpha Industries
29;Only
30;Comma
31;More & More
32;H&M
33;G-Star
34;Burberry
35;Gabor
36;Hudson
37;Seeberger
38;Fraas
39;Sloggi
40;Buffalo
41;Wilvorst
42;Seidenfalter
43;Salomon
44;Converse
45;Panama Jack
46;Teva
47;Pierre Cardin
48;Champion
49;Lacoste
50;Brax
51;The North Face
52;United Colors of Benetton
53;Zara
54;Eterna
55;Gloverall
56;Peter Kaiser
57;Burlington
58;Stetson
59;Cecil
60;Speedo
61;Digel
62;Asics
63;New Balance
64;Cavallo
65;Havaianas
66;Under Armour
67;Superdry
68;Carhartt
69;Schott NYC
70;Dale of Norway
71;Diane von Furstenberg
72;Vero Moda
73;Mango
